Team,Tackles,FreesAgainst,OnePercenters
Adelaide,58.45454545454545,17.636363636363637,41.90909090909091
Brisbane Lions,63.54545454545455,20.90909090909091,48.27272727272727
Carlton,64.0,16.727272727272727,49.22727272727273
Collingwood,64.77272727272727,15.772727272727273,43.86363636363637
Essendon,60.5,16.545454545454547,42.81818181818182
Fremantle,65.5909090909091,19.227272727272727,42.68181818181818
Geelong,66.4090909090909,16.136363636363637,41.27272727272727
Gold Coast,60.27272727272727,17.136363636363637,49.90909090909091
Greater Western Sydney,58.95454545454545,19.318181818181817,39.18181818181818
Hawthorn,64.13636363636364,18.454545454545453,50.72727272727273
Melbourne,61.04545454545455,18.863636363636363,43.18181818181818
North Melbourne,58.59090909090909,17.636363636363637,38.27272727272727
Port Adelaide,67.0909090909091,18.863636363636363,39.72727272727273
Richmond,55.90909090909091,18.454545454545453,43.68181818181818
St Kilda,56.54545454545455,17.90909090909091,40.27272727272727
Sydney,71.68181818181819,17.636363636363637,48.72727272727273
West Coast,68.72727272727273,16.454545454545453,44.27272727272727
Western Bulldogs,66.13636363636364,19.772727272727273,46.22727272727273
