Team,Disposals,Kicks,Marks,Handballs,Goals,Behinds,HitOuts,Rebounds,Inside50s,Clearances,Clangers,Frees,ContestedPossessions,UncontestedPossessions,ContestedMarks,MarksInside50,Bounces,GoalAssists
Adelaide,367.8181818181818,217.27272727272728,94.77272727272727,150.54545454545453,13.5,10.227272727272727,38.81818181818182,33.77272727272727,53.18181818181818,36.86363636363637,43.54545454545455,19.318181818181817,144.72727272727272,219.5909090909091,10.590909090909092,11.181818181818182,9.727272727272727,8.772727272727273
Brisbane Lions,342.72727272727275,197.0909090909091,82.68181818181819,145.63636363636363,12.545454545454545,9.409090909090908,38.0,35.54545454545455,50.77272727272727,35.68181818181818,47.36363636363637,17.954545454545453,135.0909090909091,203.95454545454547,10.0,10.090909090909092,9.363636363636363,8.818181818181818
Carlton,341.54545454545456,208.27272727272728,81.81818181818181,133.27272727272728,13.818181818181818,10.590909090909092,43.90909090909091,31.954545454545453,53.0,39.40909090909091,42.5,16.818181818181817,147.54545454545453,190.22727272727272,13.090909090909092,13.090909090909092,14.681818181818182,9.590909090909092
Collingwood,381.6818181818182,217.77272727272728,98.5909090909091,163.9090909090909,14.090909090909092,10.409090909090908,31.545454545454547,32.40909090909091,54.77272727272727,34.90909090909091,44.54545454545455,16.363636363636363,140.86363636363637,239.13636363636363,11.090909090909092,14.090909090909092,15.272727272727273,10.272727272727273
Essendon,375.8636363636364,222.63636363636363,100.5909090909091,153.22727272727272,14.181818181818182,9.818181818181818,40.09090909090909,33.22727272727273,54.90909090909091,37.36363636363637,43.13636363636363,15.772727272727273,141.0909090909091,231.9090909090909,12.409090909090908,11.818181818181818,8.772727272727273,9.818181818181818
Fremantle,364.90909090909093,217.72727272727272,99.54545454545455,147.1818181818182,13.727272727272727,8.363636363636363,38.90909090909091,31.545454545454547,48.0,36.22727272727273,44.45454545454545,18.59090909090909,142.0909090909091,223.0909090909091,9.681818181818182,11.454545454545455,9.636363636363637,9.590909090909092
Geelong,374.1363636363636,208.54545454545453,92.36363636363636,165.5909090909091,16.045454545454547,10.545454545454545,36.72727272727273,31.363636363636363,58.09090909090909,35.04545454545455,42.59090909090909,19.09090909090909,146.13636363636363,226.86363636363637,12.090909090909092,12.954545454545455,6.136363636363637,10.727272727272727
Gold Coast,350.95454545454544,199.9090909090909,81.45454545454545,151.04545454545453,12.545454545454545,10.181818181818182,31.59090909090909,34.90909090909091,49.59090909090909,38.13636363636363,46.09090909090909,15.863636363636363,139.3181818181818,208.22727272727272,9.636363636363637,10.409090909090908,13.181818181818182,8.909090909090908
Greater Western Sydney,334.6818181818182,192.8181818181818,84.95454545454545,141.86363636363637,10.045454545454545,6.863636363636363,37.45454545454545,36.5,39.81818181818182,36.27272727272727,50.09090909090909,17.90909090909091,125.9090909090909,205.95454545454547,7.2727272727272725,6.7272727272727275,10.5,6.2272727272727275
Hawthorn,373.22727272727275,214.13636363636363,88.18181818181819,159.0909090909091,17.0,10.590909090909092,41.72727272727273,31.454545454545453,55.86363636363637,38.54545454545455,42.5,18.181818181818183,143.1818181818182,229.6818181818182,11.045454545454545,15.045454545454545,8.227272727272727,11.681818181818182
Melbourne,318.54545454545456,181.77272727272728,82.54545454545455,136.77272727272728,9.5,7.590909090909091,41.77272727272727,35.31818181818182,40.04545454545455,32.81818181818182,45.04545454545455,18.818181818181817,123.72727272727273,191.63636363636363,9.909090909090908,7.909090909090909,12.590909090909092,5.909090909090909
North Melbourne,364.95454545454544,216.4090909090909,93.81818181818181,148.54545454545453,15.545454545454545,8.818181818181818,44.18181818181818,33.09090909090909,51.13636363636363,39.18181818181818,43.09090909090909,20.227272727272727,140.54545454545453,221.22727272727272,10.954545454545455,12.636363636363637,12.863636363636363,9.863636363636363
Port Adelaide,363.09090909090907,201.3181818181818,85.04545454545455,161.77272727272728,13.545454545454545,9.636363636363637,38.81818181818182,29.681818181818183,51.90909090909091,37.77272727272727,46.95454545454545,18.863636363636363,138.6818181818182,222.6818181818182,8.954545454545455,12.818181818181818,10.227272727272727,9.590909090909092
Richmond,368.1363636363636,221.3181818181818,98.68181818181819,146.8181818181818,14.136363636363637,10.681818181818182,35.5,33.54545454545455,52.36363636363637,37.54545454545455,44.95454545454545,18.727272727272727,136.95454545454547,229.22727272727272,10.727272727272727,13.545454545454545,14.181818181818182,9.590909090909092
St Kilda,358.6363636363636,204.9090909090909,92.5909090909091,153.72727272727272,11.409090909090908,9.318181818181818,33.81818181818182,34.63636363636363,46.36363636363637,33.81818181818182,47.68181818181818,16.136363636363637,129.63636363636363,227.95454545454547,10.909090909090908,12.0,18.09090909090909,8.363636363636363
Sydney,369.0,204.6818181818182,70.9090909090909,164.3181818181818,15.090909090909092,9.363636363636363,48.59090909090909,36.95454545454545,54.54545454545455,42.5,46.27272727272727,17.363636363636363,156.77272727272728,206.45454545454547,11.0,12.090909090909092,8.272727272727273,10.181818181818182
West Coast,345.72727272727275,204.1818181818182,87.45454545454545,141.54545454545453,13.409090909090908,9.181818181818182,47.27272727272727,32.54545454545455,48.04545454545455,39.31818181818182,42.95454545454545,20.136363636363637,143.0909090909091,200.63636363636363,11.863636363636363,12.545454545454545,11.0,9.0
Western Bulldogs,367.72727272727275,198.3181818181818,76.18181818181819,169.4090909090909,12.863636363636363,8.545454545454545,43.63636363636363,32.0,50.95454545454545,41.81818181818182,44.86363636363637,19.40909090909091,149.04545454545453,217.63636363636363,11.409090909090908,10.136363636363637,9.272727272727273,8.545454545454545
